task,robot,rep,bucket,state,dist,outcome,duration_s
cover_cup,airbot_play,1,BUCKET3_超时/未记录,,,failed,60.12
cover_cup,airbot_play,2,BUCKET2_判据失败,17/17,0.0342,passed,51.826
cover_cup,airbot_play,3,BUCKET2_判据失败,17/17,0.1231,passed,50.765
cover_cup,airbot_play,4,BUCKET1_早期IK失败,5/17,,passed,36.046
cover_cup,airbot_play,5,BUCKET1_早期IK失败,0/17,,passed,4.209
cover_cup,airbot_play,6,BUCKET1_早期IK失败,0/17,,passed,4.457
cover_cup,airbot_play,7,BUCKET2_判据失败,17/17,0.0085,passed,57.092
cover_cup,airbot_play,8,BUCKET1_早期IK失败,10/17,,passed,52.406
cover_cup,airbot_play,9,BUCKET3_超时/未记录,,,failed,60.05
cover_cup,airbot_play,10,BUCKET2_判据失败,17/17,0.036,passed,39.531
cover_cup,airbot_play,11,BUCKET3_超时/未记录,,,failed,60.117
cover_cup,airbot_play,12,BUCKET2_判据失败,17/17,0.1089,passed,58.592
cover_cup,airbot_play,13,BUCKET1_早期IK失败,0/17,,passed,4.099
cover_cup,airbot_play,14,BUCKET3_超时/未记录,,,failed,60.123
cover_cup,airbot_play,15,BUCKET2_判据失败,17/17,0.2497,passed,56.992
cover_cup,airbot_play,16,BUCKET2_判据失败,17/17,0.0323,passed,40.751
cover_cup,airbot_play,17,BUCKET3_超时/未记录,,,failed,60.188
cover_cup,airbot_play,18,BUCKET3_超时/未记录,,,failed,60.213
cover_cup,airbot_play,19,BUCKET3_超时/未记录,,,failed,60.255
cover_cup,airbot_play,20,BUCKET1_早期IK失败,0/17,,passed,4.192
cover_cup,airbot_play,21,BUCKET3_超时/未记录,,,failed,60.121
cover_cup,airbot_play,22,BUCKET2_判据失败,17/17,0.0366,passed,48.444
cover_cup,airbot_play,23,BUCKET2_判据失败,17/17,0.0378,passed,57.53
cover_cup,airbot_play,24,BUCKET3_超时/未记录,,,failed,60.136
cover_cup,airbot_play,25,BUCKET2_判据失败,17/17,0.1098,passed,48.497
cover_cup,airbot_play,26,BUCKET3_超时/未记录,,,failed,60.206
cover_cup,airbot_play,27,BUCKET2_判据失败,17/17,0.0574,passed,57.019
cover_cup,airbot_play,28,BUCKET2_判据失败,17/17,0.0087,passed,47.551
cover_cup,airbot_play,29,BUCKET1_早期IK失败,0/17,,passed,3.929
cover_cup,airbot_play,30,BUCKET3_超时/未记录,,,failed,60.1
cover_cup,airbot_play,31,BUCKET1_早期IK失败,10/17,,passed,52.969
cover_cup,airbot_play,32,BUCKET2_判据失败,17/17,0.022,passed,55.884
cover_cup,airbot_play,33,BUCKET3_超时/未记录,,,failed,60.082
cover_cup,airbot_play,34,BUCKET2_判据失败,17/17,0.0184,passed,41.085
cover_cup,airbot_play,35,BUCKET1_早期IK失败,0/17,,passed,2.096
cover_cup,airbot_play,36,BUCKET2_判据失败,17/17,0.0326,passed,47.074
cover_cup,airbot_play,37,BUCKET1_早期IK失败,4/17,,passed,13.932
cover_cup,airbot_play,38,BUCKET1_早期IK失败,10/17,,passed,23.216
cover_cup,airbot_play,39,BUCKET1_早期IK失败,0/17,,passed,2.103
cover_cup,airbot_play,40,BUCKET2_判据失败,17/17,0.1079,passed,39.171
cover_cup,airbot_play,41,BUCKET1_早期IK失败,0/17,,passed,2.099
cover_cup,airbot_play,42,BUCKET2_判据失败,17/17,0.0175,passed,49.296
cover_cup,airbot_play,43,BUCKET2_判据失败,17/17,0.0343,passed,47.128
cover_cup,airbot_play,44,BUCKET2_判据失败,17/17,0.0103,passed,25.606
cover_cup,airbot_play,45,BUCKET2_判据失败,17/17,0.0595,passed,49.683
cover_cup,airbot_play,46,BUCKET2_判据失败,17/17,0.0585,passed,46.185
cover_cup,airbot_play,47,BUCKET2_判据失败,17/17,0.0215,passed,22.992
cover_cup,airbot_play,48,BUCKET2_判据失败,17/17,0.0182,passed,42.566
cover_cup,airbot_play,49,BUCKET2_判据失败,17/17,0.0511,passed,35.696
cover_cup,airbot_play,50,BUCKET2_判据失败,17/17,0.0346,passed,45.832
cover_cup,arx_l5,1,BUCKET4_配置崩溃,,,failed,2.21
cover_cup,arx_l5,2,BUCKET4_配置崩溃,,,failed,2.22
cover_cup,arx_l5,3,BUCKET4_配置崩溃,,,failed,2.236
cover_cup,arx_l5,4,BUCKET4_配置崩溃,,,failed,2.256
cover_cup,arx_l5,5,BUCKET4_配置崩溃,,,failed,2.238
cover_cup,arx_l5,6,BUCKET4_配置崩溃,,,failed,2.207
cover_cup,arx_l5,7,BUCKET4_配置崩溃,,,failed,2.237
cover_cup,arx_l5,8,BUCKET4_配置崩溃,,,failed,2.254
cover_cup,arx_l5,9,BUCKET4_配置崩溃,,,failed,2.215
cover_cup,arx_l5,10,BUCKET4_配置崩溃,,,failed,2.223
cover_cup,arx_l5,11,BUCKET4_配置崩溃,,,failed,2.276
cover_cup,arx_l5,12,BUCKET4_配置崩溃,,,failed,2.258
cover_cup,arx_l5,13,BUCKET4_配置崩溃,,,failed,2.19
cover_cup,arx_l5,14,BUCKET4_配置崩溃,,,failed,2.175
cover_cup,arx_l5,15,BUCKET4_配置崩溃,,,failed,2.24
cover_cup,arx_l5,16,BUCKET4_配置崩溃,,,failed,2.272
cover_cup,arx_l5,17,BUCKET4_配置崩溃,,,failed,2.222
cover_cup,arx_l5,18,BUCKET4_配置崩溃,,,failed,2.191
cover_cup,arx_l5,19,BUCKET4_配置崩溃,,,failed,2.257
cover_cup,arx_l5,20,BUCKET4_配置崩溃,,,failed,2.229
cover_cup,arx_l5,21,BUCKET4_配置崩溃,,,failed,4.74
cover_cup,arx_l5,22,BUCKET4_配置崩溃,,,failed,5.362
cover_cup,arx_l5,23,BUCKET4_配置崩溃,,,failed,5.19
cover_cup,arx_l5,24,BUCKET4_配置崩溃,,,failed,5.218
cover_cup,arx_l5,25,BUCKET4_配置崩溃,,,failed,5.308
cover_cup,arx_l5,26,BUCKET4_配置崩溃,,,failed,5.207
cover_cup,arx_l5,27,BUCKET4_配置崩溃,,,failed,4.981
cover_cup,arx_l5,28,BUCKET4_配置崩溃,,,failed,5.216
cover_cup,arx_l5,29,BUCKET4_配置崩溃,,,failed,5.295
cover_cup,arx_l5,30,BUCKET4_配置崩溃,,,failed,4.984
cover_cup,arx_l5,31,BUCKET4_配置崩溃,,,failed,5.178
cover_cup,arx_l5,32,BUCKET4_配置崩溃,,,failed,4.67
cover_cup,arx_l5,33,BUCKET4_配置崩溃,,,failed,4.712
cover_cup,arx_l5,34,BUCKET4_配置崩溃,,,failed,4.628
cover_cup,arx_l5,35,BUCKET4_配置崩溃,,,failed,5.261
cover_cup,arx_l5,36,BUCKET4_配置崩溃,,,failed,5.093
cover_cup,arx_l5,37,BUCKET4_配置崩溃,,,failed,4.877
cover_cup,arx_l5,38,BUCKET4_配置崩溃,,,failed,5.048
cover_cup,arx_l5,39,BUCKET4_配置崩溃,,,failed,5.313
cover_cup,arx_l5,40,BUCKET4_配置崩溃,,,failed,5.289
cover_cup,arx_l5,41,BUCKET4_配置崩溃,,,failed,5.296
cover_cup,arx_l5,42,BUCKET4_配置崩溃,,,failed,4.981
cover_cup,arx_l5,43,BUCKET4_配置崩溃,,,failed,4.816
cover_cup,arx_l5,44,BUCKET4_配置崩溃,,,failed,5.259
cover_cup,arx_l5,45,BUCKET4_配置崩溃,,,failed,5.241
cover_cup,arx_l5,46,BUCKET4_配置崩溃,,,failed,5.046
cover_cup,arx_l5,47,BUCKET4_配置崩溃,,,failed,5.154
cover_cup,arx_l5,48,BUCKET4_配置崩溃,,,failed,5.212
cover_cup,arx_l5,49,BUCKET4_配置崩溃,,,failed,5.249
cover_cup,arx_l5,50,BUCKET4_配置崩溃,,,failed,5.455
cover_cup,arx_x5,1,BUCKET4_配置崩溃,,,failed,5.485
cover_cup,arx_x5,2,BUCKET4_配置崩溃,,,failed,4.673
cover_cup,arx_x5,3,BUCKET4_配置崩溃,,,failed,4.949
cover_cup,arx_x5,4,BUCKET4_配置崩溃,,,failed,5.256
cover_cup,arx_x5,5,BUCKET4_配置崩溃,,,failed,5.112
cover_cup,arx_x5,6,BUCKET4_配置崩溃,,,failed,5.083
cover_cup,arx_x5,7,BUCKET4_配置崩溃,,,failed,5.111
cover_cup,arx_x5,8,BUCKET4_配置崩溃,,,failed,5.044
cover_cup,arx_x5,9,BUCKET4_配置崩溃,,,failed,4.806
cover_cup,arx_x5,10,BUCKET4_配置崩溃,,,failed,4.468
cover_cup,arx_x5,11,BUCKET4_配置崩溃,,,failed,4.605
cover_cup,arx_x5,12,BUCKET4_配置崩溃,,,failed,5.019
cover_cup,arx_x5,13,BUCKET4_配置崩溃,,,failed,5.516
cover_cup,arx_x5,14,BUCKET4_配置崩溃,,,failed,5.101
cover_cup,arx_x5,15,BUCKET4_配置崩溃,,,failed,5.402
cover_cup,arx_x5,16,BUCKET4_配置崩溃,,,failed,5.204
cover_cup,arx_x5,17,BUCKET4_配置崩溃,,,failed,5.108
cover_cup,arx_x5,18,BUCKET4_配置崩溃,,,failed,5.412
cover_cup,arx_x5,19,BUCKET4_配置崩溃,,,failed,5.245
cover_cup,arx_x5,20,BUCKET4_配置崩溃,,,failed,5.278
cover_cup,arx_x5,21,BUCKET4_配置崩溃,,,failed,5.102
cover_cup,arx_x5,22,BUCKET4_配置崩溃,,,failed,4.728
cover_cup,arx_x5,23,BUCKET4_配置崩溃,,,failed,4.693
cover_cup,arx_x5,24,BUCKET4_配置崩溃,,,failed,4.968
cover_cup,arx_x5,25,BUCKET4_配置崩溃,,,failed,4.91
cover_cup,arx_x5,26,BUCKET4_配置崩溃,,,failed,5.255
cover_cup,arx_x5,27,BUCKET4_配置崩溃,,,failed,5.417
cover_cup,arx_x5,28,BUCKET4_配置崩溃,,,failed,5.005
